Date,"Fiscal
Year","Fiscal
Quarter","Year
and
Quarter","Ticker
Symbol","Company
Name", QR ,Period
9/30/14,2014,3,2014Q3,AMZN,AMAZON.COM INC,"20,578.00",55
12/31/14,2014,4,2014Q4,AMZN,AMAZON.COM INC,"29,329.00",56
3/31/15,2015,1,2015Q1,AMZN,AMAZON.COM INC,"22,717.00",57
6/30/15,2015,2,2015Q2,AMZN,AMAZON.COM INC,"23,184.00",58
9/30/15,2015,3,2015Q3,AMZN,AMAZON.COM INC,"25,358.00",59
12/31/15,2015,4,2015Q4,AMZN,AMAZON.COM INC,"35,747.00",60
3/31/16,2016,1,2016Q1,AMZN,AMAZON.COM INC,"29,128.00",61
6/30/16,2016,2,2016Q2,AMZN,AMAZON.COM INC,"30,404.00",62
9/30/16,2016,3,2016Q3,AMZN,AMAZON.COM INC,"32,714.00",63
12/31/16,2016,4,2016Q4,AMZN,AMAZON.COM INC,"43,741.00",64
3/31/17,2017,1,2017Q1,AMZN,AMAZON.COM INC,"35,714.00",65
6/30/17,2017,2,2017Q2,AMZN,AMAZON.COM INC,"37,955.00",66
9/30/17,2017,3,2017Q3,AMZN,AMAZON.COM INC,"43,744.00",67
12/31/17,2017,4,2017Q4,AMZN,AMAZON.COM INC,"60,453.00",68
3/31/18,2018,1,2018Q1,AMZN,AMAZON.COM INC,"51,042.00",69
6/30/18,2018,2,2018Q2,AMZN,AMAZON.COM INC,"52,886.00",70
9/30/18,2018,3,2018Q3,AMZN,AMAZON.COM INC,"56,576.00",71
12/31/18,2018,4,2018Q4,AMZN,AMAZON.COM INC,"72,383.00",72
3/31/19,2019,1,2019Q1,AMZN,AMAZON.COM INC,"59,700.00",73
6/30/19,2019,2,2019Q2,AMZN,AMAZON.COM INC,"63,404.00",74
9/30/19,2019,3,2019Q3,AMZN,AMAZON.COM INC,"69,982.00",75
12/31/19,2019,4,2019Q4,AMZN,AMAZON.COM INC,"87,436.00",76
3/31/20,2020,1,2020Q1,AMZN,AMAZON.COM INC,"75,452.00",77
6/30/20,2020,2,2020Q2,AMZN,AMAZON.COM INC,"88,912.00",78
9/30/20,2020,3,2020Q3,AMZN,AMAZON.COM INC,"96,145.00",79
